2016-04-26 13:56:22,125 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'd6ccdfc9-0b62-11e6-b08b-6bdbf640236f', 'date': 'Tue, 26 Apr 2016 03:56:21 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:01:22,720 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '89f659bf-0b63-11e6-9e6e-59e012e1d07b', 'date': 'Tue, 26 Apr 2016 04:01:22 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:06:23,423 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '3d304f24-0b64-11e6-ad82-6904e8d2859a', 'date': 'Tue, 26 Apr 2016 04:06:23 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:11:24,173 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'f0731d93-0b64-11e6-9e6e-59e012e1d07b', 'date': 'Tue, 26 Apr 2016 04:11:23 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:16:24,828 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'a3a830d5-0b65-11e6-96c8-5169206d8b22', 'date': 'Tue, 26 Apr 2016 04:16:24 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:21:25,438 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '56d3325c-0b66-11e6-92ff-d1edcc958296', 'date': 'Tue, 26 Apr 2016 04:21:25 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:26:26,188 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '0a14f029-0b67-11e6-9e6e-59e012e1d07b', 'date': 'Tue, 26 Apr 2016 04:26:25 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:31:26,704 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'bd3283c9-0b67-11e6-8413-5be41d579972', 'date': 'Tue, 26 Apr 2016 04:31:25 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:36:27,252 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '7055bc95-0b68-11e6-9537-8b1c2f4eca3b', 'date': 'Tue, 26 Apr 2016 04:36:26 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:41:27,907 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '2389497c-0b69-11e6-a15d-db34ebd707e8', 'date': 'Tue, 26 Apr 2016 04:41:26 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:46:28,642 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'd6c81fdc-0b69-11e6-b7d4-e7e698cb7b37', 'date': 'Tue, 26 Apr 2016 04:46:28 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:51:29,283 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '89fb382e-0b6a-11e6-a117-81a5caa8cb20', 'date': 'Tue, 26 Apr 2016 04:51:28 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 14:56:30,095 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '3d45cf28-0b6b-11e6-8a8a-ed19d6ce941d', 'date': 'Tue, 26 Apr 2016 04:56:29 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:01:30,736 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'f077ae00-0b6b-11e6-9e6e-59e012e1d07b', 'date': 'Tue, 26 Apr 2016 05:01:29 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:06:31,644 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'a3d18778-0b6c-11e6-92ff-d1edcc958296', 'date': 'Tue, 26 Apr 2016 05:06:31 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:11:32,299 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '56fe0e8c-0b6d-11e6-92ff-d1edcc958296', 'date': 'Tue, 26 Apr 2016 05:11:31 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:16:33,158 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '0a563a21-0b6e-11e6-a15d-db34ebd707e8', 'date': 'Tue, 26 Apr 2016 05:16:32 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:21:33,924 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'bd9b7aaa-0b6e-11e6-844b-072d20517f2a', 'date': 'Tue, 26 Apr 2016 05:21:33 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:26:34,628 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '70d6cf2b-0b6f-11e6-92ff-d1edcc958296', 'date': 'Tue, 26 Apr 2016 05:26:34 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:31:35,285 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '2409e6c6-0b70-11e6-a370-89489f477625', 'date': 'Tue, 26 Apr 2016 05:31:34 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:36:36,051 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': 'd74c401c-0b70-11e6-b1d0-614a29b0e6f4', 'date': 'Tue, 26 Apr 2016 05:36:35 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:41:36,644 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '8a793ce6-0b71-11e6-aff4-6b8e859ff598', 'date': 'Tue, 26 Apr 2016 05:41:36 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
2016-04-26 15:46:37,457 [DEBUG] Response: 200 https://cloudformation.ap-southeast-2.amazonaws.com/?Action=DescribeStackResource&StackName=LMBROrchestrator&Version=2010-05-15&ContentType=JSON&LogicalResourceId=Instance [headers: {'x-amzn-requestid': '3dc31095-0b72-11e6-b7d4-e7e698cb7b37', 'date': 'Tue, 26 Apr 2016 05:46:36 GMT', 'content-length': '10424', 'content-type': 'application/json'}]
